Name,intensity_x,intensity_y,unnormalized_intensity,label
seq1001_all_clean_seqs_gap0_no20_0.4,8400.54073363776,10398.18262824322,8673.0,independent
seq1002_all_clean_seqs_gap0_no20_0.4,731.0454081319655,751.2725385293037,741.0730861890365,independent
seq1003_all_clean_seqs_gap0_no20_0.4,444.72948489820453,436.9903772242993,482.662557781202,independent
seq1004_all_clean_seqs_gap0_no20_0.4,2735.082719749385,7278.8817246269755,6108.234022130055,cooperative
seq1005_all_clean_seqs_gap0_no20_0.4,461.59218846727504,381.7630775087649,437.2533126532895,independent
seq1008_all_clean_seqs_gap0_no20_0.4,405.2420432041385,1992.703466459337,1761.80815029883,cooperative
seq1009_all_clean_seqs_gap0_no20_0.4,621.7213924726766,6588.794172837959,5540.827052020775,cooperative
seq1010_all_clean_seqs_gap0_no20_0.4,545.0484777786276,516.4748731434047,548.0166666666664,independent
seq1012_all_clean_seqs_gap0_no20_0.4,740.922720400222,1066.1520289930245,999.9747533331465,independent
seq1014_all_clean_seqs_gap0_no20_0.4,436.2516657297415,683.6565461826713,685.477553058677,cooperative
seq1017_all_clean_seqs_gap0_no20_0.4,3661.9678179028997,5736.4032031924935,4839.97021699861,independent
seq1018_all_clean_seqs_gap0_no20_0.4,382.5944017769745,689.6370658831231,690.394883554083,cooperative
seq101_all_clean_seqs_gap0_no20_0.4,1109.3828233181075,1049.1525252090419,985.997342915548,independent
seq1020_all_clean_seqs_gap0_no20_0.4,1763.7205790158,1782.7339683594544,1589.1660610112299,independent
seq1021_all_clean_seqs_gap0_no20_0.4,542.9720361000955,557.2912476147271,581.5768943647015,independent
seq1022_all_clean_seqs_gap0_no20_0.4,476.118315018315,340.70495827621573,403.494316462544,ambiguous
seq1024_all_clean_seqs_gap0_no20_0.4,522.659299350407,380.16984914467923,435.9433210784315,independent
seq1026_all_clean_seqs_gap0_no20_0.4,1023.574523007854,4280.404153275871,3642.8119618562796,cooperative
seq102_all_clean_seqs_gap0_no20_0.4,495.009556084596,628.6710377194865,640.2671146496205,independent
seq1030_all_clean_seqs_gap0_no20_0.4,1287.532670154945,6298.971367437746,5302.5276080525655,cooperative
seq1032_all_clean_seqs_gap0_no20_0.4,1307.92093593185,1306.3286496609167,1197.453882279845,independent
seq1033_all_clean_seqs_gap0_no20_0.4,466.3313528643405,823.3175052057597,800.3102310231025,independent
seq1034_all_clean_seqs_gap0_no20_0.4,948.7619977007635,950.9279718381118,905.2346975467815,ambiguous
seq1035_all_clean_seqs_gap0_no20_0.4,823.2071271684905,1160.157582874146,1077.2684334797486,cooperative
seq1036_all_clean_seqs_gap0_no20_0.4,414.4224037833525,659.577722652223,665.679351703228,cooperative
seq1037_all_clean_seqs_gap0_no20_0.4,641.9841836259491,648.8723185263682,656.8771049403365,independent
seq1041_all_clean_seqs_gap0_no20_0.4,1174.5673477109349,3314.649962729688,2848.74509641645,cooperative
seq1042_all_clean_seqs_gap0_no20_0.4,703.509395521422,1142.6934626584894,1062.9090039964885,cooperative
seq1043_all_clean_seqs_gap0_no20_0.4,335.55467533786555,487.83370787909416,524.4671956453575,independent
seq1044_all_clean_seqs_gap0_no20_0.4,523.9024384841334,585.7522889612429,604.9782630674349,independent
seq1045_all_clean_seqs_gap0_no20_0.4,502.77464538806703,445.31027023316153,489.503378589451,independent
seq1046_all_clean_seqs_gap0_no20_0.4,640.235591454242,1716.958766098544,1535.0840707964599,cooperative
seq1048_all_clean_seqs_gap0_no20_0.4,806.1707754474935,3094.5131560074014,2667.743195732965,cooperative
seq1050_all_clean_seqs_gap0_no20_0.4,491.4456181743915,707.4408313233821,705.0335777006514,cooperative
seq1051_all_clean_seqs_gap0_no20_0.4,3486.19602009462,3283.037124829628,2822.7522430126646,independent
seq1053_all_clean_seqs_gap0_no20_0.4,484.32850887279153,445.8304018944175,489.9310436432635,independent
seq1055_all_clean_seqs_gap0_no20_0.4,404.5437693099895,562.9587164187278,586.2368267079676,independent
